"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 16 18:17:28 MSK 2019","Tue Apr 16 18:17:28 MSK 2019","2","","test_api_booking_availability","","test_api_booking_availability","TestBookingAvailability.test02_check_that_response_contains_valid_json[response2]","TestBookingAvailability.test02_check_that_response_contains_valid_json[response2]",""
"passed","Tue Apr 16 18:17:28 MSK 2019","Tue Apr 16 18:17:28 MSK 2019","2","","test_api_booking_availability","","test_api_booking_availability","TestBookingAvailability.test13_check_that_currency_is_a_three_letter_code_of_type_string_and_fits_to_the_requested_one[response1]","TestBookingAvailability.test13_check_that_currency_is_a_three_letter_code_of_type_string_and_fits_to_the_requested_one[response1]",""
"passed","Tue Apr 16 18:17:28 MSK 2019","Tue Apr 16 18:17:28 MSK 2019","1","","test_api_booking_availability","","test_api_booking_availability","TestBookingAvailability.test13_check_that_currency_is_a_three_letter_code_of_type_string_and_fits_to_the_requested_one[response0]","TestBookingAvailability.test13_check_that_currency_is_a_three_letter_code_of_type_string_and_fits_to_the_requested_one[response0]",""
"passed","Tue Apr 16 18:17:28 MSK 2019","Tue Apr 16 18:17:28 MSK 2019","2","","test_api_booking_availability","","test_api_booking_availability","TestBookingAvailability.test04_check_dates[response0]","TestBookingAvailability.test04_check_dates[response0]",""
"passed","Tue Apr 16 18:17:28 MSK 2019","Tue Apr 16 18:17:28 MSK 2019","2","","test_api_booking_availability","","test_api_booking_availability","TestBookingAvailability.test06_check_that_hotel_details_contains_a_name_of_type_string[response1]","TestBookingAvailability.test06_check_that_hotel_details_contains_a_name_of_type_string[response1]",""
"passed","Tue Apr 16 18:17:28 MSK 2019","Tue Apr 16 18:17:28 MSK 2019","2","","test_api_booking_availability","","test_api_booking_availability","TestBookingAvailability.test14_check_that_amount_is_a_number_equal_or_greater_than_0[response1]","TestBookingAvailability.test14_check_that_amount_is_a_number_equal_or_greater_than_0[response1]",""
"passed","Tue Apr 16 18:17:28 MSK 2019","Tue Apr 16 18:17:28 MSK 2019","3","","test_api_booking_availability","","test_api_booking_availability","TestBookingAvailability.test10_check_that_room_types_array_contains_at_least_one_entry[response2]","TestBookingAvailability.test10_check_that_room_types_array_contains_at_least_one_entry[response2]",""
"passed","Tue Apr 16 18:17:28 MSK 2019","Tue Apr 16 18:17:28 MSK 2019","2","","test_api_booking_availability","","test_api_booking_availability","TestBookingAvailability.test10_check_that_room_types_array_contains_at_least_one_entry[response0]","TestBookingAvailability.test10_check_that_room_types_array_contains_at_least_one_entry[response0]",""
"failed","Tue Apr 16 18:17:28 MSK 2019","Tue Apr 16 18:17:28 MSK 2019","5","","test_api_booking_availability","","test_api_booking_availability","TestBookingAvailability.test03_check_api_version[response3]","TestBookingAvailability.test03_check_api_version[response3]",""
"passed","Tue Apr 16 18:17:28 MSK 2019","Tue Apr 16 18:17:28 MSK 2019","1","","test_api_booking_availability","","test_api_booking_availability","TestBookingAvailability.test11_check_that_responded_room_has_a_name_and_its_data_format_is_type_string_with_at_least_3_letters[response3]","TestBookingAvailability.test11_check_that_responded_room_has_a_name_and_its_data_format_is_type_string_with_at_least_3_letters[response3]",""
